lon,lat,administrado,unidad,subsector,riesgo,peligro,vulnerabilidad,pasivo_minero,pasivo_hidrocarburo,conflicto_socioamb
-76.2113,-10.58106,NEXA RESOURCES ATACOCHA S.A.A.,Atacocha,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
-73.68262,-15.05842,SOUTH AMERICA MINING INVESTMENTS S.A.C,Breapampa,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-78.51739,-6.99286,MINERA YANACOCHA S.R.L.,Chaupiloma Sur,Minería,Alto,Moderado,Alto,0,Sin pasivo,Medio
-78.63081,-6.76126,GOLD FIELDS LA CIMA S.A.,Cerro Corona,Minería,Alto,Alto,Alto,11-más,Sin pasivo,Sin conflicto
-77.88252,-8.54088,SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C. EN LIQUIDACION,Austria Duvaz,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-76.24979,-10.67756,EMPRESA ADMINISTRADORA CERRO S.A.C.,Cerro de Pasco,Minería,Alto,Alto,Muy alto,11-más,Sin pasivo,Sin conflicto
-78.45764,-6.92621,MINERA YANACOCHA S.R.L.,China Linda,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-71.58011,-16.56195,SOCIEDAD MINERA CERRO VERDE S.A.A.,Cerro Verde,Minería,Alto,Moderado,Alto,1-5,Sin pasivo,Sin conflicto
-75.63846,-12.07673,SIERRA POLI S.A.C.,Sierra Sumaq Rumi,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-76.24352,-11.66994,EMPRESA MINERA LOS QUENUALES S.A.,Casapalca,Minería,Alto,Moderado,Alto,11-más,Sin pasivo,Sin conflicto
-73.92961,-14.9534,APUMAYO S.A.C.,Apumayo,Minería,Alto,Alto,Moderado,0,Sin pasivo,Alto
-76.06762,-11.73334,VOLCAN COMPANIA MINERA S.A.A.,Carahuacra,Minería,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
