lon,lat,administrado,unidad,subsector,riesgo,peligro,vulnerabilidad,pasivo_minero,pasivo_hidrocarburo,conflicto_socioamb
-75.33126,-11.99036,ELECTROCENTRO S.A.,U.N. Valle Del Mantaro,Electricidad,Alto,Moderado,Muy alto,1-5,Sin pasivo,Sin conflicto
-76.81412,-12.27135,LUZ DEL SUR S.A.A.,Z.C. Lima - Sur,Electricidad,Alto,Moderado,Muy alto,11-más,Alto,Sin conflicto
-73.5363,-13.63051,ELECTRO SUR ESTE S.A.A.,Zona de Concesión Abancay,Electricidad,Alto,Moderado,Muy alto,6-10,Sin pasivo,Sin conflicto
-77.87287,-6.23102,EMP REG DE SERV PUBLICO DE ELECTRICIDAD,U.N. Chachapoyas,Electricidad,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-75.74963,-11.84038,STATKRAFT PERU S.A.,L.T. 60 kV S.E. Oroya Nueva - S.E. Pachacayo - S.E. Yauricocha,Electricidad,Alto,Moderado,Muy alto,1-5,Sin pasivo,Sin conflicto
-79.46077,-7.10104,CONSORCIO TRANSMANTARO S.A.,L.T. 500 kV Trujillo - Chiclayo (La Niña),Electricidad,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-71.50278,-14.70554,ATN 1 S.A.,L.T. 220 kV S.E. Tintaya Nueva - S.E. Constancia,Electricidad,Alto,Alto,Moderado,0,Sin pasivo,Sin conflicto
-71.41472,-15.75126,TRANSMISORA ELECTRICA DEL SUR S.A.C - TESUR,"L.T. 220 kV S.E. Tintaya Nueva - S.E. Socabaya, L.T. 138 kV S.E. Tintaya Nueva - S.E. Tintaya Existente",Electricidad,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-78.84158,-7.41683,CONELSUR LT S.A.C.,"L.T. 220 kV S.E. Trujillo Norte - S.E. Cajamarca Norte, L.T. 60 kV S.E. Cajamarca Norte - S.E. La Pajuela",Electricidad,Alto,Alto,Moderado,0,Sin pasivo,Sin conflicto
-77.79686,-10.65653,AGRO INDUSTRIAL PARAMONGA SOCIEDAD ANÓNIMA - AGRO INDUSTRIAL PARAMONGA S.A.,Planta Paramonga,Industria,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-78.8909,-8.3021,AGROINDUSTRIAL LAREDO S.A.A.,Planta Laredo,Industria,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-78.33181,-9.18722,AGROINDUSTRIAS SAN JACINTO S A A,Planta San Jacinto,Industria,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-79.22162,-7.89847,CARTAVIO SOCIEDAD ANONIMA ABIERTA,Planta Santiago de Cao,Industria,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-76.40843,-6.49131,EMP REG DE SERV PUBLICO DE ELECTRICIDAD,"U.N. Tarapoto, U.N. Moyobamba, U.N. Bellavista, U.N. Yurimaguas",Electricidad,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-76.03093,-13.47542,ATLANTICA TRANSMISION SUR S.A.,"L.T. 500 kV S.E. Chilca - S.E. Marcona Nueva - S.E. Ocoña - S.E. Montalvo 2 y Subestaciones, L.T. 220 kV S.E. Marcona Nueva - S.E. Marcona Existente, L.T. 220 kV S.E. Montalvo Nueva - S.E. Montalvo Existente",Electricidad,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-73.29303,-3.77522,EMP REG DE SERV PUBLICO DE ELECTRICIDAD,U.N. Iquitos,Electricidad,Alto,Moderado,Muy alto,0,Sin pasivo,Sin conflicto
-74.17965,-13.05201,ELECTROCENTRO S.A.,U.N. Ayacucho,Electricidad,Alto,Moderado,Muy alto,11-más,Sin pasivo,Sin conflicto
-79.37488,-6.87433,ELECTRO  ZAÑA  S.A.C.,L.T. C.H. Zaña - S.E. Cayalti,Electricidad,Alto,Alto,Moderado,0,Sin pasivo,Sin conflicto
-70.11659,-15.37639,TRANSMISORA ELECTRICA DEL SUR 2 S.A.C. TESUR 2,L.T. 220 kV Azángaro - Juliaca - Puno y Subestaciones Asociadas,Electricidad,Alto,Alto,Muy alto,0,Sin pasivo,Sin conflicto
-77.0578,-11.84464,CERAMICOS PERUANOS S A,Planta de Fabricación de Ladrillos Pirámide,Industria,Alto,Alto,Moderado,0,Sin pasivo,Sin conflicto
-80.95699,-4.01862,PETROLERA MONTERRICO S.A,Lote XX,Hidrocarburos,Alto,Alto,Alto,0,Medio,Sin conflicto
-80.78775,-3.83541,UPLAND OIL AND GAS LLC SUCURSAL DEL PERU,Lote XXIII,Hidrocarburos,Alto,Moderado,Alto,0,Medio,Sin conflicto
-81.08305,-5.15457,UPLAND OIL AND GAS LLC SUCURSAL DEL PERU,Lote XXIV,Hidrocarburos,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-80.74733,-3.63244,VIGO ENERGY S.R.L.,Lote Z-1,Hidrocarburos,Alto,Alto,Alto,0,Medio,Sin conflicto
-81.29908,-4.44161,NOREX ENERGIA S.A.; PETROLEOS DEL PERU PETROPERU SA,Lote Z-69 (Ex Lote Z-2B),Hidrocarburos,Alto,Alto,Alto,0,Medio,Sin conflicto
-75.24752,-12.00872,SOLGAS S.A.,Planta Huancayo,Hidrocarburos,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-78.35906,-5.28213,PETROLEOS DEL PERU PETROPERU SA,Oleoducto Nor Peruano,Hidrocarburos,Muy alto,Muy alto,Muy alto,1-5,Bajo,Alto
-81.15061,-4.24486,CNPC PERU S.A.; OIG PERU S.A.C.,Lote X,Hidrocarburos,Alto,Alto,Alto,0,Medio,Sin conflicto
-80.76721,-5.48796,OLYMPIC PERU INC SUCURSAL DEL PERU,Lote XIII,Hidrocarburos,Alto,Alto,Alto,0,Medio,Sin conflicto
-80.36108,-3.66795,BPZ EXPLORACION & PRODUCCION S.R.L.,Lote XIX,Hidrocarburos,Alto,Moderado,Muy alto,0,Medio,Sin conflicto
-73.51601,-6.74852,FRONTERA ENERGY DEL PERU S.A.,Lote 135,Hidrocarburos,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-73.04186,-11.64377,PLUSPETROL PERU CORPORATION S.A.,Lote 56,Hidrocarburos,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-81.22954,-4.48868,PETROLEOS DEL PERU PETROPERU SA,Lote VI,Hidrocarburos,Alto,Alto,Moderado,0,Medio,Sin conflicto
-73.42381,-11.31813,REPSOL EXPLORACION PERU SUCURSAL DEL PER U,Lote 57,Hidrocarburos,Alto,Alto,Alto,0,Sin pasivo,Sin conflicto
-73.06527,-11.9764,CNPC PERU S.A.,Lote 58,Hidrocarburos,Alto,Moderado,Alto,0,Sin pasivo,Sin conflicto
-75.58885,-14.45356,CONTUGAS S.A.C.,Sistema de Distribución de Gas Natural por Red de Ductos de Ica,Hidrocarburos,Alto,Moderado,Muy alto,1-5,Sin pasivo,Sin conflicto
-75.37895,-3.4179,PLUSPETROL NORTE S.A.; UPLAND OIL AND GAS LLC SUCURSAL DEL PERU,Lote 8,Hidrocarburos,Alto,Alto,Alto,0,Sin pasivo,Alto
-76.99292,-12.05445,GAS NATURAL DE LIMA Y CALLAO S.A.,Sistema de Distribución de Gas Natural por Red de Ductos de Lima y Callao,Hidrocarburos,Alto,Alto,Muy alto,0,Alto,Sin conflicto
-75.16713,-7.06145,COMPAÑIA CONSULTORA DE PETROLEO SOCIEDAD ANONIMA,Lote 100,Hidrocarburos,Alto,Moderado,Alto,0,Medio,Sin conflicto
-72.69656,-11.80219,PLUSPETROL PERU CORPORATION S.A.,Lote 88,Hidrocarburos,Alto,Alto,Moderado,0,Sin pasivo,Medio
-74.20567,-5.5071,PETROTAL PERU S.R.L.,Lote 95,Hidrocarburos,Alto,Alto,Alto,0,Bajo,Alto
