lon,lat,NOM_COMP,TIPO_COMP,estado_dr,unidad,administrado,subsector,area_m2
-76.14527,-11.59408,Depósito de relaves 3,Depósito,Operación,Argentum,COMPAÑIA MINERA ARGENTUM S.A.,,22016.22050945
-74.07417,-15.64371,Depósito de relaves Chacchuille II - Zona 1,Depósito,Operación,Capitana,COMPAÑIA MINERA CARAVELI S.A.C.,,39135.36354974
-74.07471,-15.64229,Depósito de relaves Chacchuille II - Zona 2,Depósito,Operación,Capitana,COMPAÑIA MINERA CARAVELI S.A.C.,,30969.60129861
-74.07503,-15.6464,Depósito de relaves Chacchuille II - Zona 3,Depósito,Operación,Capitana,COMPAÑIA MINERA CARAVELI S.A.C.,,66809.88104829
-78.55946,-6.99598,Depósito de relaves Arenas de Molienda Sur,Depósito,Operación,Chaupiloma Sur,MINERA YANACOCHA S.R.L.,,302568.89949749
-76.17631,-11.67999,Depósito de relaves,Depósito,Operación,Oroya sur,SOBREANDES S.A.C.,,313049.38600672
-75.66027,-12.05198,Depósito de relaves n° 5 b 4,Depósito,Operación,UEA Azulcocha,SIERRA POLI S.A.C.,,3412.82523527
-75.68233,-12.41035,Depósito de relaves San Valentín (preliminar - referencia),Depósito,Operación,San Valentín,COMPANIA MINERA SAN VALENTIN S.A.,Minería,55885.34053807
-76.19649,-11.60991,Depósito de relaves Ticlio (preliminar - referencia),Depósito,Operación,Ticlio,VOLCAN COMPANIA MINERA S.A.A.,Minería,79627.52118537
-76.13979,-11.59431,Depósito de relaves Austria Duvaz (preliminar - referencia),Depósito,Operación,Austria Duvaz,SOCIEDAD MINERA AUSTRIA DUVAZ S.A.C. EN LIQUIDACION,Minería,114459.93683158
-75.16372,-15.27637,Depósito de relaves Marcona (preliminar - referencia),Depósito,Operación,Marcona,SHOUGANG HIERRO PERU S.A.A.,Minería,2923680.43027774
-75.1958,-15.26047,Depósito de relaves Marcona (preliminar - referencia),Depósito,Operación,Marcona,SHOUGANG HIERRO PERU S.A.A.,Minería,1763946.57286734
-75.17352,-15.25636,Depósito de relaves Marcona (preliminar - referencia),Depósito,Operación,Marcona,SHOUGANG HIERRO PERU S.A.A.,Minería,944127.61816405
-72.30851,-14.98782,Depósito de relaves Arcata (preliminar - referencia),Depósito,Operación,Arcata,COMPANIA MINERA ARES S.A.C.,Minería,20850.05006608
-72.32389,-14.98866,Depósito de relaves Arcata (preliminar - referencia),Depósito,Operación,Arcata,COMPANIA MINERA ARES S.A.C.,Minería,272135.99455594
-76.28394,-10.43759,Depósito de relaves Vinchos (preliminar - referencia),Depósito,Operación,Vinchos,EMP.EXPLOTADORA DE VINCHOS LTDA S.A.C.,Minería,8067.21239158
-76.28341,-10.43389,Depósito de relaves Vinchos (preliminar - referencia),Depósito,Operación,Vinchos,EMP.EXPLOTADORA DE VINCHOS LTDA S.A.C.,Minería,10232.00689261
-76.28618,-10.43118,Depósito de relaves Vinchos (preliminar - referencia),Depósito,Operación,Vinchos,EMP.EXPLOTADORA DE VINCHOS LTDA S.A.C.,Minería,8765.63462457
-76.4152,-11.03688,Depósito de relaves Animon (preliminar - referencia),Depósito,Operación,Animon,COMPAÑIA MINERA CHUNGAR S.A.C.,Minería,43636.27284606
-76.42027,-11.03436,Depósito de relaves Animon (preliminar - referencia),Depósito,Operación,Animon,COMPAÑIA MINERA CHUNGAR S.A.C.,Minería,361038.95585549
-76.42567,-11.02438,Depósito de relaves Animon (preliminar - referencia),Depósito,Operación,Animon,COMPAÑIA MINERA CHUNGAR S.A.C.,Minería,239698.60123998
