lon,lat,codigo,federacion,zona,tipo_impacto,fuente_impacto,antiguedad,lote,empresa,anio,detecto,descripcion,ubicacion,remediacion,responsable,estado_validacion
-75.733066,-3.1718486,COE201335.6,"OEFA, FECONACO",,Derrame antiguo de petróleo,,,Lote 8,PlusPetrol Norte S.A,2013,2013-11-26,"En 2013, OEFA con organizaciones de comunidades nativas de los ríos Pastaza, Tigre y Marañón hicieron una expedición de supervisión en el Lote 8 para identificar posibles sitios contaminados. Se informó sobre 41 sitios contaminados en Nueva Esperanza, Pavayacu y Base Corrientes Percy y la tubería Co","código de sitio: S6. Se ubica 70 metros al este del pozo 25X, donde la quebrada Mazatoyacu fluye hacia el río Plantanoyacu, en Yacimiento Valencia-Nueva Esperanza.",0.0,Cielo,1. Validado parcial
-75.7328734,-3.1729548,CFD20183,FECONACOR,Batería 7,colpa artificial,Pozo,Antiguo,Lote 8,Pluspetrol Norte,,17/09/2018,"Pozo 25, sitio remediado por Pluspetrol donde los animales están haciendo colpa","Pozo 25, comunidad más cercana a Belén",1.0,Laura,1. Validado parcial
-75.728181,-2.513784,TJG201921,OPIKAFPE,Bartra,Botadero,,Antiguo,Lote 1AB/192,Frontera Energy,,2019-04-01,Botadero de fierros y llantas,Bahía de Bartra,,Laura,1. Validado parcial
-75.72792,-2.514499,TJG201920,OPIKAFPE,Bartra,Botadero,plátaforma,Antiguo,Lote 1AB/192,Frontera Energy,,2019-04-01,Restos de plátaforma de concreto,Bahía de Bartra,,Laura,1. Validado parcial
-75.727273,-2.514807,TJG201922,OPIKAFPE,Bartra,Botadero,,Antiguo,Lote 1AB/192,Frontera Energy,,2019-04-01,"Botadero de bidones, restos de container",Bahía de Bartra,,Laura,1. Validado parcial
-75.726976,-2.515675,TJG201925,OPIKAFPE,Bartra,Botadero,,Antiguo,Lote 1AB/192,Frontera Energy,,2019-04-01,Botadero de llantas,Bahía de Bartra,,Laura,1. Validado parcial
-75.725167,-2.513008,TJG201924,OPIKAFPE,Bartra,Botadero,,Antiguo,Lote 1AB/192,Frontera Energy,,2019-04-01,plátaforma de concreto y botadero,Bahía de Bartra,,Laura,1. Validado parcial
-75.723845,-2.513198,TJG201923,OPIKAFPE,Bartra,Botadero,,Antiguo,Lote 1AB/192,Frontera Energy,,2019-04-01,Restos de fierros de tractores,Bahía de Bartra,,Laura,1. Validado parcial
-75.72301063,-2.52234089,TES201701,OPIKAFPE,,Botadero,,,Lote 1AB/192,PlusPetrol Norte S.A,2017,2017-05-20,,"Batería Bartra, en el territorio de la comunidad de San Juan Bartra.",,Ana Paula,2. Validado final
-75.7198161,-3.1900055,CFD20182,FECONACOR,Batería 7,Derrame de crudo,Pozo,Antiguo,Lote 8,Pluspetrol Norte,,17/09/2018,"Fuga de crudo de tubería y pozo abandonado, numero 92. Afecta la quebrada Nayanmaca",Pozo 92; comunidad más cercana es Nueva Esperanza,,Laura,1. Validado parcial
-75.719489,-3.1901317,COE201335.4,"OEFA, FECONACO",,Derrame antiguo de petróleo,,,Lote 8,PlusPetrol Norte S.A,2013,2013-11-26,"En 2013, OEFA con organizaciones de comunidades nativas de los ríos Pastaza, Tigre y Marañón hicieron una expedición de supervisión en el Lote 8 para identificar posibles sitios contaminados. Se informó sobre 41 sitios contaminados en Nueva Esperanza, Pavayacu y Base Corrientes Percy y la tubería Co","código de sitio: S4. Se ubica 60 metros al norte del pozo 92D, en Yacimiento Valencia-Nueva Esperanza.",0.0,Cielo,1. Validado parcial
-75.713851,-3.1982231,COE201335.3,"OEFA, FECONACO",,Derrame antiguo de petróleo,,,Lote 8,PlusPetrol Norte S.A,2013,2013-11-26,"En 2013, OEFA con organizaciones de comunidades nativas de los ríos Pastaza, Tigre y Marañón hicieron una expedición de supervisión en el Lote 8 para identificar posibles sitios contaminados. Se informó sobre 41 sitios contaminados en Nueva Esperanza, Pavayacu y Base Corrientes Percy y la tubería Co","código de sitio: S3. Se ubica a unos 200 metros al noreste de la Batería 7, donde la quebrada Colcayacu fluye hacia la cocha Nayanmaca, en Yacimiento Valencia-Nueva Esperanza.",0.0,Cielo,1. Validado parcial
