lon,lat,codigo,federacion,zona,tipo_impacto,fuente_impacto,antiguedad,lote,empresa,anio,detecto,descripcion,ubicacion,remediacion,responsable,estado_validacion
-76.30114,-2.39364,PRD20182,FEDIQUEP,Capahuari Sur,Derrame de crudo,Batería,Antiguo,Lote 1AB/192,Pluspetrol Norte,2000,2018-08-05,Contaminacion de pozo crudo en cocha y aguajal. Afecta caza y pesca. Ramar de Q..Rí,"Batería Capahuari Norte, comunidad Titiyacu",,Laura,1. Validado parcial
-76.576224,-2.829769,PRS20172,FEDIQUEP,Capahuari Sur,Árboles talados,oleoducto,Antiguo,Lote 1AB/192,Pluspetrol Norte,2000,2017-04-08,Tala de arboles para hacer oleoducto tobiria Ramar norte,oleoducto tobiria Ramar norte en comunidad Paniyacu,,Laura,1. Validado parcial
-76.51208,-2.653136,PRD20172,FEDIQUEP,Capahuari Sur,Derrame de crudo,Pozo,Nuevo,Lote 1AB/192,Pluspetrol Norte,2000,2017-09-12,"Tierra removida, tala arboles por petroleo escondido afecta cocha, colpa y aguajal cerca de Rama de capahuari yacu","Batería Capahuari Norte, comunidad Titiyacu",,Laura,1. Validado parcial
-76.510957,-2.6699406,PRD201409,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2014,2014-04-28,"Hay barriles antiguos de metal, residuos plásticos y otros restos botados. El agua se ve contaminada con crudo en la superficie, visiblemente notable. Esta quebrada fluye hacia el río Capahuari.","Pozo 2, Batería Capahuari Norte.",,Cielo,1. Validado parcial
-76.509904,-2.6618385,PRD201406,FEDIQUEP,,otro,,,Lote 1AB/192,,2014,2014-03-31,Tubería de metal abandonada en el bosque.,"parte trasera de Batería Capahuari Norte, a 500 m de los pozos 10 y 12.",,Cielo,1. Validado parcial
-76.506368,-2.6604049,PJB201101,FEDIQUEP,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2011,2011-06-22,Pasivo ambiental/ Sitio PAC,Batería Capahuari Norte.,,Ale,1. Validado parcial
-76.505394,-2.657883,PEH201824,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2018,2018-03-23,Evidencia de crudo en el suelo de los tiempos de Oxy.,Titiyacu.,,Ana Paula,2. Validado final
-76.502992,-2.440332,PRD20181,FEDIQUEP,Capahuari Sur,Derrame de crudo,Botadero,Nuevo,Lote 1AB/192,Pluspetrol Norte,2000,17/01/2018,"Tierra removida y contaminacion y tala debido a plátaforma. Queman petroleo. Afecta cocha, colpa y aguajal","Batería Capahuari Norte, comunidad Titiyacu",,Claudia,2. Validado final
-76.501792,-2.6763641,PRD201410,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2014,2014-05-13,Hay barriles de metal y plástico botados y pedazos de tubería y otros restos.,"Frente al pozo 6 y 8, Batería Capahuari norte.",,Cielo,1. Validado parcial
-76.500992,-2.676311,PEH201823,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-23,Evidencia de crudo en el suelo.,Titiyacu.,,Ana Paula,2. Validado final
-76.500947,-2.6763019,PRD201408,FEDIQUEP,,Derrame nuevo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2014,2014-04-25,Anteriormente este sitio ha sido lugar de dos otros derrames por lo menos que no fueron adecuadamente remediados. La comunidad caza en el área e incluso toma el agua.,"A 50m de la entrada de los pozos 6 y 8, en Batería Capahuari Norte.",,Cielo,1. Validado parcial
-76.499265057578,-2.6835391888,PTA201001,FEDIQUEP,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2010,2010-06-10,El incidente afecta al territorio de la Comunidad Nativa Titiyacu. Los registros muestran una válvula que bota crudo directamente al medioambiente. El crudo cubre una área significativa y migra hacia una quebrada que eventualmente termina en la quebrada Capahuari. No hay ninguna medida preventiva im,Batería Capahuari Norte.,,Ale,1. Validado parcial
-76.498252,-2.686299,PRD20201,FEDIQUEP,Capahuari Norte,Derrame de crudo,Batería,Nuevo,Lote 1AB/192,Frontera Energy,2020.0,2020-11-05,Derrame de hidrocarburos en capahuari Norte,Batería capahuari norte,,,
-76.49676197,-2.69208464,PJV201607,FEDIQUEP,,Botadero,,,Lote 1AB/192,Occidental Petroleum,2016,19/05/2016,Derrame antiguo y botadero en el territorio de la comunidad Titiyacu. Actualmente es una colpa activa.,En el territorio de la comunidad de Titiyacu,,Lady,1. Validado parcial
-76.496659,-2.692225,PRD20191,FEDIQUEP,Capahuari Norte,Derrame de crudo,Tubería,Operacional,Lote 1AB/192,Frontera Energy,2019,2019-09-11,"Al llegar, la empresa ya ha empezado con su plan de contingencia. Se ve un estimado de 150 bolsas de crudo, y todavía trazas de crudo en la quebrada que desemboca en rio Capahuari. Afectación de 1,4 hectareas, 450 metros desde la fuente",Plátaforma Capahuari norte,1.0,Ana Paula,2. Validado final
-76.495458,-2.681319,PRD201412,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2014,2014-05-16,Tubería de metal botada.,"pozo 9, Batería Capahuari Norte.",,Cielo,1. Validado parcial
-76.494254,-2.6825776,PRD201404,FEDIQUEP,,Derrame nuevo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2014,2014-09-13,Se rebalsó el sump tank.,"Batería Capahuari Norte, a 500 m del pozo 9.",,Cielo,1. Validado parcial
-76.490838,-2.6912731,PRD201407,FEDIQUEP,,Derrame nuevo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2014,2014-04-23,"Área contaminada por un derrame de crudo en la parte de atrás del pozo 5. Según los apuntes escritos, el suelo se ha movido para hacer perforaciones.","pozo 5, camino de Comunidad Titiyacu a Batería Capahuari Norte.",,Cielo,1. Validado parcial
-76.552,-2.783,PEH201826,"OEFA, FEDIQUEP",,Derrame nuevo de petróleo,,,Lote 1AB/192,"Pacific Stratus Energy del Perú, S.A. / Petroperu S.A.",2018,2018-05-25,"El propietario de la empresa es Petroleos del Perú-Petroperu S,A.","Km No. 12 del oleoducto Norperuano-Ramal Norte (ORN), a 3 km de la comunidad Titiyacu en el distrito de Andoas.",,Ana Paula,1. Validado parcial
-76.4700566,-2.69880302,PJV201608,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2016,19/05/2016,Antiguo pozo de crudo de los tiempos de Oxy y Pluspetrol.,"En el territorio de la comunidad Titiyacu, Batería Capahuari Norte.",,Lady,1. Validado parcial
-76.469991,-2.6989589,PMO201304,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2013,2013-05-14,"El safe tank vierte a una zona, que cuando rebalsa alimenta la colpa. La fauna ha convertido una zona contaminada en colpa","derrames del Pozo 1 de Capahuari Norte, al km 14 de la carretera a Capahuari Norte.",,Cielo,1. Validado parcial
-76.469928,-2.69895,PRD201413,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2014,2014-05-16,"Una colpa contaminada. Es un lugar importante para la alimentación de varias especies, entre ellas la sachavaca.","Pozo 3, Batería Capahuari Norte.",,Cielo,1. Validado parcial
-76.464384,-2.8060574,COE200901/PEM200901,"OEFA, FEDIQUEP",,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2009,2009-03-29,"Este evento fue prooleoducto de una rotura de tubo ""turbo"" que abastecía a las avionetas y helicopteros. El petroleo corrió por Panpallina Yacu, llegando al final al río Pastaza.","Andoas, Batería Capahuari sur, Lote 9 (dentro del aeródromo de Andoas)",,Ale,1. Validado parcial
-76.46399,-2.7120169,PRD201419,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2014,2014-06-16,Crudo antiguo enterrado 20-30cm debajo de la superficie. El área suele ser usada por la comunidad.,,,Cielo,1. Validado parcial
-76.46158992,-2.80304659,PJB201603,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2016,13/03/2016,Afectó la cocha Shanshococha y los riachuelos de Shirunchi y Anapaza.,Territorio de la comunidad Los Jardines (Batería capahuari sur),,Lady,1. Validado parcial
-76.4609056,-2.80655222,PAS201603,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2016,2016-04-18,Se ve tierras removidas y crudo. Afecta al río Pastaza. Los pobladores han construido sus casas en la zona contaminada.,"En el pueblo de Nuevo Andoas, a 50m del río Pastaza y frente a la estación ccnn. Nuevo Andoas.",,Lady,1. Validado parcial
-76.4598955704509,-2.8056018624406,PEH201804,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2018,2018-03-16,"Pruebas contundentes de antiguo petróleo de los tiempos de Oxy dentro de un agujero de 1,5m de profundidad hecho mientras se construía un pozo de agua. El lugar está en medio de un asentamiento. Es probable que toda la zona esté afectada.",En el territorio de Nuevo Andoas.,,Ana Paula,2. Validado final
-76.458878,-2.804536,PEH201803,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-15,,,,Ana Paula,2. Validado final
-76.458724,-2.759894,PRD20192,FEDIQUEP,Capahuari Norte,Sin especificar,,Antiguo,Lote 1AB/192,Pluspetrol Norte,,21/03/2019,"S0167, Muestreo OEFA, a ±3m de profundidad olor fuerte a hidrocarburos",Capahuarí KM4+300,,Laura,1. Validado parcial
-76.458413,-2.799318,PEH201825,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2018,2018-03-18,El monitor cuenta que hubo un derrame hace 10 años en los tiempos de Pluspetrol que afectó a la zona. Hoy se puede encontrar crudo a unos 5 cm de profundidad.,"En el territorio de Nuevo Andoas. Ese punto está a 5 m de 2 tanques, utilizados para abastecer de combustible a las aeronaves.",,Ana Paula,2. Validado final
-76.457114,-2.802955,PJB201601,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2016,13/03/2016,Hay cuatro cilindros con crudo derramado y un botadero. La cocha Uspayacu y la quebrada Anapaza han sido afectados por el derrame en el territorio de Alianza Capahuari. Afecta también a la zona de caza y pesca de Loboyaco. El río está abajo de la quebrada Capahuari.,Cocha Ushpayacu y quebrada Anapaza de la comunidad Alianza Capahuari.,,Lady,1. Validado parcial
-76.45711428,-2.80295501,PMD201801,FEDIQUEP,,Botadero,,,Lote 1AB/192,Occidental Petroleum,2018,2018-02-15,"La comunidad está cultivando por encima de un botadero de los tiempos de Oxy. Hay residuos de metal enterrados y una instalación petrolera abandonada. Los registros muestran, entre otras cosas, barriles, pedazos de tubería, llantas, etc. Afectó a un aguajal y también a la quebrada Anapaza.","En la ''chacra"" frente a PetroPerú, en territorio de la comunidad Nuevo Andoas.",,Ana Paula,2. Validado final
-76.45659665,-2.81074066,PEH201829,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2018,2018-02-15,"Unas obras en Nuevo Andoas encontraron hidrocarburos 30cm de los tiempos de Oxy. Su fuente es desconocida. Según el monitor, está afectando a una colpa, una cocha y un aguajal. La empresa está quemando el crudo. La contaminación llega al río Pastaza.","Base principal de Frontera Energy, Nuevo Andoas.",,Ana Paula,2. Validado final
-76.455251,-2.7595818,PRD201401,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2014,2014-03-31,Unos 50 cilindros de metal botados en el bosque.,"A 600 m de la carretera, km 4. Batería Capahuari Norte.",,Cielo,1. Validado parcial
-76.45462687,-2.80232926,PJB201602,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2016,28/04/2016,Afecta a la quebrada Ismacaño cerca de las instalaciones de Petroperu.,A 200 m del asentamiento Nuevo Andoas.,,Lady,1. Validado parcial
-76.453965,-2.810475,PNA201001,FEDIQUEP,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2010,2010-10-18,,Batería Capahuari sur,,Ale,1. Validado parcial
-76.453786,-2.774335,PED20211,FEDIQUEP,Capahuari Norte,Otro,Tubería,Nuevo,Lote 1AB/192,Perupetro,2021.0,19/05/2021,"No hay derrame, pero se ha perforado un hueco con taladro de 4 pulgadas, el hueco chorrea, le han puesto un palito.","Km 2+300 Capahuari Norte, colindancia Porvenir-Titiyacu",,,
-76.453184,-2.804118,PEH201809,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-18,Evidencia de crudo enterrado.,En el territorio de Nuevo Andoas.,,Ana Paula,2. Validado final
-76.452606,-2.801993,PEH201805,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-18,Crudo saliendo del suelo.,En el territorio de Nuevo Andoas.,,Ana Paula,1. Validado parcial
-76.452275,-2.775042,PRD201414,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2014,2014-05-16,Una colpa contaminada. Hay pedazos de tubería de metal que aún contienen crudo y están contaminando el área desde que fue abandonada.,"Tambo x1x, vía Capahuari Norte, km 2.",,Cielo,1. Validado parcial
-76.4515578577779,-2.80579317462717,PEH201808,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2018,2018-03-18,"Una gran cantidad de crudo se derramó en los tiempos de Oxy. Aún es visible y llega hasta 2.5m de profundidad. A unos 20-30 m de distancia, hay dos oleoductos.",En el territorio de Nuevo Andoas.,,Ana Paula,2. Validado final
-76.451476438246,-2.80541342029677,PEH201807,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2018,2018-03-18,"Hay evidencia contundente de crudo de los tiempos de Oxy en el suelo, distribuido por una zona amplia. Abarca una profundidad que llega hasta 50 cm. Además, hay un botadero.","Quebrada Isma Caño, en el territorio de Nuevo Andoas. El punto se encuentra a 5m del oleoducto que va desde Frontera hasta el punto de recolección. Las coordenadas dadas fueron tomadas en el punto don",,Ana Paula,2. Validado final
-76.44846829,-2.77601632,PAS201618,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2016,30/04/2016,"En este sitio se ha botado residuos tóxicos, tanto orgánico como inorgánico. Esto ha cambiado cómo crecen la flora y los árboles. Aún hay contaminación y afecta a un aguajal y las zonas de caza y pesca de varias comunidades.","Carretera km no. 02, hacia Capahuari Norte (Batería Capahuari Sur).",,Lady,1. Validado parcial
-76.448256116621,-2.77580671219505,PEH201814,FEDIQUEP,,Botadero,,,Lote 1AB/192,Occidental Petroleum,2018,2018-03-20,"Residuos de metal y plástico como pedazos de tubería, jeringas, etc. de los tiempos de bosque en el bosque. Hay una instalación abandonada. (-2.775354524775755, -76.44823757737052).",En el territorio de Nuevo Andoas.,,Ana Paula,1. Validado parcial
-76.448172,-2.8174463,PRD201418,FEDIQUEP,,Derrame nuevo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2014,2014-06-12,,"Carretera Bahía los Jardines, a 200 m de Los Jardines. El sitio está en Esma Caño.",,Cielo,1. Validado parcial
-76.443338,-2.814314,PEH201603,"OEFA, FEDIQUEP",,Derrame nuevo de petróleo,,,Lote 1AB/192,"Pacific Stratus Energy del Perú, S.A.",2016,27/09/2016,El derrame de petróleo afectó a un riachuelo y una quebrada. Proviene de un oleoducto antiguo. El evento se dio dentro de las instalaciones de Frontera Energy (ex-Pacific Stratus Energy del Perú).,Batería Capahuari Sur.,,Lady,1. Validado parcial
-76.441773,-2.792465,PMD20191,FEDIQUEP,Capahuari Sur,Derrame de crudo,Tubería,Nuevo,Lote 1AB/192,Frontera Energy,,2019-01-12,"Trazas de crudo, contaminación de suelo, contaminación de cuerpo de agua","Tramo tubería Capahuari norte, Cerca a pozo 32; cerca a un aguajal con quebrada que fluye hacia la quebrada Anapaza",1.0,Laura,1. Validado parcial
-76.441739,-2.7865411,POE201301/PMO201306,"OEFA, FEDIQUEP",,Botadero,,,Lote 1AB/192,"Occidental Petroleum, Pluspetrol Norte SA",2013,2013-05-18,"Durante la supervisión de OEFA, se encontraron barriles antiguos, pedazos de tubería, hierro y otros residuos enterrados cerca del pozo 32. La empresa empezó a limpiar la zona con maquinaria pesada, después de una denuncia administrativa de FEDIQUEP. Según el informe, algunos de los barriles desente","Cerca del pozo 32, Batería Capahuari sur.",1.0,Cielo,1. Validado parcial
-76.441694,-2.786397,PEH201828,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-19,Evidencia de crudo antiguo en el suelo.,En el territorio de Nuevo Andoas.,,Ana Paula,2. Validado final
-76.44169127,-2.78640005,PAS201613,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2016,26/03/2016,"Desde 1972 este sitio ha sido un botadero por la empresa Oxy. Hay metales, motores, vehiculos, tubería y otros restos abandonados en el suelo y enterrados también. El depósito ha modificado cómo crecen la cesped los árboles y otra flora. Se ve tierras removidas y contaminación. Se ha ocultado petról","Pozo 32. El lugar se llama ''el Cementerio de Chatarra'' (Nuevo Andoás, Batería Capahuari Sur).",,Lady,1. Validado parcial
-76.439153,-2.8120852,POE201305,"OEFA, FEDIQUEP",,Derrame antiguo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2013,2013-11-11,"Según el informe de OEFA, miembros de FEDIQUEP informaron que la empresa está utilizado tierra para encubrir un sitio contaminado en Shipiro Cocha para evitar remediarlo.",Shipiro Cocha,0.0,Cielo,1. Validado parcial
-76.438824,-2.7864633,PMO201307,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,"Occidental Petroleum, Pluspetrol Norte SA",2013,2013-05-18,"Un derrame de los 18, 19 y 20 afectó a Chancho Cocha, Piripiri Cocha y un aguajal. La contaminación fluye hacia la quebrada Anapaza.","Pozos 18, 19 y 20",,Cielo,1. Validado parcial
-76.43500695,-2.78328811,PAS201619,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2016,30/04/2016,"Aún hay hidrocarburos en el entorno. Hay canteras, crudo ocultado por árboles talados. Afecta a un aguajal y zonas de pesca y caza de varias comunidades. En los tiempos de Oxy, los pobladores advirtieron de la presencia de contaminación. Afectó a la cocha Shanshococha.",Comunidad Nuevo Andoas (Batería Capahuari Sur).,,Lady,1. Validado parcial
-76.43497895,-2.78312316,PAS201712,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2017,2017-04-19,Depósito de hidrocarburos en la cocha Shanshococha. La cocha Shanshococha fue remediado hace 9-10 años en el tiempo de Pluspetrol. Aún se encuentra contaminada y afecta a la cocha aunque no es visible. Esta cocha es tributaria de Shanshococha. Afectó a muchas quebradas y un aguajal. La quebrada de a,"En el territorio de Nuevo Andoas, Batería Capahuari sur.",,Ana Paula,2. Validado final
-76.434602,-2.7828146,PNA201203,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2012,2012-05-22,Un derrame antiguo de una hectárea. No se ha hecho ningún trabajo de remediación.,"Batería Capahuari sur, por el km 7 a Andoas, a 150 metros de la carretera.",0.0,Cielo,1. Validado parcial
-76.4345536208,-2.78733684340023,PEH201810,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-19,Evidencia de crudo en el fondo de una colcha.,En el territorio de Nuevo Andoas.,,Ana Paula,2. Validado final
-76.43455015,-2.78749902,PAS201629,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2016,01/07/2016,"Esta cocha contiene crudo, metales pesados e hidrocarburos, etc. desde hace años. Está visiblemente afectada la Shirunchicocha cocha. El OEFA está haciendo un análisis integral. Se encuentra afectando la tierra, los territorios de caza y pesca de Shirunchicocha, así como varias comunidades.",Ramal de shirunchicocha.,,Lady,1. Validado parcial
-76.434473,-2.787319,PEH201811,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-19,,En el territorio de Nuevo Andoas.,,Ana Paula,2. Validado final
-76.434239,-2.787202,PEH201812,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-19,Evidencia de crudo en el fondo de una colcha.,,,Ana Paula,2. Validado final
-76.434194,-2.787373,PEH201813,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-19,Evidencia de crudo en el fondo de una colcha.,,,Ana Paula,2. Validado final
-76.433576,-2.7828159,PNA201204,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2012,2012-06-01,,Batería Capahuari sur.,,Cielo,1. Validado parcial
-76.433107,-2.788442,PEH201817,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-21,"Evidencia de crudo en el fondo de la colcha. Podría haber sido afectada por 1 o 2 eventos o podría ser 2 cochas afectadas por derrames distintos del mismo oleoducto. (1:-2.7884420142872100, -76.43310684395480; y 2: -2.7908308966245507, -76.43212933289603; 340811, 9691430)",En el territorio de la comunidad Nuevo Andoas.,,Ana Paula,1. Validado parcial
-76.4326608857663,-2.79155378704304,PEH201822,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-21,"Evidencia de crudo en el suelo. El evento se dio según las siguientes coordenadas:  -2.791788849431106, -76.43273312681575 / 340744, 9691324 and -2.791553787043049, -76.43266088576635.",En el territorio de Nuevo Andoas.,,Ana Paula,1. Validado parcial
-76.432661,-2.791554,PEH201821,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-21,Evidencia de crudo en el fondo de una colcha.,,,Ana Paula,2. Validado final
-76.432428,-2.8079061,PJB201301,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2013,2013-05-17,Instalaciones afectadas por corosión donde muchos derrames se han dado. Toda esta contaminación ha afectado a la cocha Paschin (ubicada al frente del campamento militar Otorongo),"Batería Capahuari sur., pozo 35.",,Cielo,1. Validado parcial
-76.43242,-2.800499,PEH20201,FEDIQUEP,Capahuari Sur,Derrame de crudo,Batería,Nuevo,Lote 1AB/192,Frontera Energy,2020.0,30/04/2020,"pequeã fuga hidrocarburos capahuari Sur, territorio de Los Jardines",Batería capahuari sur,,,
-76.43228136,-2.80638607,PDC201602,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,Occidental Petroleum,2016,28/04/2016,"Afecta a la quebrada Anapaza, las zonas de pesca y de caza de la comunidad. Hay evidencia de árboles talados y suelo contaminado. Es un sitio distinto a PAS201606 y PAS201607.",En el territorio de la comunidad Nuevo Andoas (Batería Capahuari Sur).,,Lady,1. Validado parcial
-76.43220567,-2.80634368,PAS201617,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,"Occidental Petroleum, Pluspetrol Norte SA",2016,28/04/2016,"Almacenamiento de crudo de tiempos de Occidental y PlusPetrol. Se ha almacenado ahí por decadas sin remediación y no ha habido ningún cambio desde el 2011 cuando los monitores visitaron el sitio. Además, hay presencia de un botadero y de crudo ocultado. Afectando al río, la quebrada Anapaza, una col",Territorio de la Comunidad Los Jardines,,Lady,1. Validado parcial
-76.432129,-2.790831,PEH201819,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2018,2018-03-21,Evidencia de crudo en el fondo de una colcha.,,,Ana Paula,2. Validado final
-76.43186719,-2.73777733,PAS201713,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,,2017,2017-04-19,"No afecta a ninguna comunidad en particular. No ha cambiado, es un punto la cocha piri piri cocha.","Alrededores de Planta Central de Producción, km 16 vía principal, Batería Capahuari sur. Desde Andoas hasta el punto Piripiri cocha.",,Ana Paula,2. Validado final
-76.431322,-2.8074823,PJP201013,FEDIQUEP,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2010,2010-01-11,El sitio normalmente es afectado por derrames originando en una instalación cercana. El crudo fluye hacia la cocha.,Capahuari sur.,,Ale,1. Validado parcial
-76.43060659,-2.78648831,PAS201612,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2016,26/03/2016,"La zona ha sido afectada por al menos 3 botaderos antiguos distintos.Hay miles de residuos enterrados. El monitor contó que la empresa también ha botado prooleoductos químicos en el área. Se nota tierras removidas y una cantera. Afectó al río Shippyn, la quebrada Capahuari y la zona de caza y pesca ","Territorio de la comunidad de Chipilay, km no. 7 al lado derecho de la carretera. Nuevo Andoás. Batería Capahuari Sur.",,Lady,1. Validado parcial
-76.430568,-2.7939711,PNA201205,FEDIQUEP,,Botadero,,,Lote 1AB/192,,2012,2012-05-31,barriles de metal abandonados que contienen prooleoductos peligrosos como crudo y otros quimicos.,Batería Capahuari sur.,,Cielo,1. Validado parcial
-76.43043022,-2.78657718,PEH201702,FEDIQUEP,,Derrame nuevo de petróleo,,,Lote 1AB/192,"Pacific Stratus Energy del Perú, S.A.",2017,2017-03-26,"Según el ODK, hay tierras removidas. Hay contaminación visible y un botadero. Han quemado y ocultado el crudo. Afecta a un aguajal.","Batería Capahuari sur, en territorio Nuevo Andoas.",,Ana Paula,2. Validado final
-76.43043022,-2.78657718,PEH201801,FEDIQUEP,,Derrame antiguo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2018,2018-01-04,"Un evento antiguo que afectó a la colcha Ismacaño. Se nota crudo en la superficie del agua. También, hay evidencia de tierras removidas y un botadero. Afectó a una colpa. La empresa ha ocultado la contaminación.","Base principal de Andoas, en el territorio de la comunidad Nuevo Andoas. Batería Capahuari Sur.",,Ana Paula,1. Validado parcial
-76.430157,-2.8036219,PTA200901,FEDIQUEP,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2009,2009-12-15,"Los registros muestran un tubo que bota una mezcla de agua de producción y crudo directamente a la quebrada Ushupayacu. Esta mezcla termina en la quebrada Capahuari. El video también muestra crudo saliendo del suelo. Cuando llueve, el crudo migra hacia riachuelos de agua dulce.",La quebrada Ushupayacu.,,Ale,1. Validado parcial
-76.429906,-2.8046442,PEM201001,FEDIQUEP,,Derrame nuevo de petróleo,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2010,2010-01-05,La empresa no instaló barreras para evitar que el crudo fluya aguas abajo.,"Batería Capahuari sur, quebrada Ushupayacu. La población más cercana es Alianza Capahuari.",,Ale,1. Validado parcial
-76.429635,-2.8038034,POE201202,"OEFA, FEDIQUEP",,Derrame antiguo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2012,2012-10-01,El crudo derramado afectó a la quebrada ubicada en la parte del fondo de Minicentral Eléctrica of Capahuari Sur. No se encuentra información detallada en el informe de OEFA. Miembros de FEDIQUEP participaron en la expedición de supervisión.,En la Minicentral Eléctrica de Capahuari Sur.,0.0,Cielo,1. Validado parcial
-76.429401,-2.803867,PJP201006,FEDIQUEP,,derrame de diesel,,Antiguo,Lote 1AB/192,PlusPetrol Norte S.A,2010,2010-01-12,Un derrame de diésel afectó a un afluente del río Capahuari a través de la quebrada Ushupayacu. El incidente ocurrió en diciembre y una segunda visita en marzo evidenció la presencia de contaminación aún.,"Cerca de laboratorio Batería Capahuari sur, carretera principal km 4. La población más cercana es Alianza Capahuari.",0.0,Ale,1. Validado parcial
-76.427933,-2.8019333,POE201203,"OEFA, FEDIQUEP",,Derrame antiguo de petróleo,,,Lote 1AB/192,PlusPetrol Norte S.A,2012,2012-10-01,El sitio contaminado proviene de un Reporte Público 1470-2012 que identificó una gran cantidad de sitios impactados en el área del río Pastaza. En este caso hay evidencia que aún hay crudo en el suelo.,"Código CSUR09, en la Batería Capahuari Sur. Se ubica entre la zanja de drenaje de seguridad básica y el oleoducto.",0.0,Cielo,1. Validado parcial
