lon,lat,nombre,tipo,etnia,familia_ling,federacion,zona
-76.33376,-6.0189,Las Amazonas,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.35993,-6.02115,Nuevo Shapaja,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.32847,-6.04793,Villa Hermoza,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.34363,-6.06809,Nuevo Alianza,Anexo Reconocido,Chayahuita (Shawi),Cahuapana,No Existe,Huallaga
-76.45414,-6.05408,San Francisco de Pampayacu,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.37476,-6.06451,Nuevo Pijuayal,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.43076,-6.03635,Nuevo Nauta,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.49531,-5.94969,Puerto Porvenir,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.46857,-5.99189,Angaiza,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.46624,-5.96934,Nuevo Uchiza,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.45429,-5.96704,Nuevo Tocache,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.44437,-5.94995,Nuevo Oriente,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.50492,-5.91238,Nuevo Saramiriza,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.45385,-5.91848,San Pedro de Porotoyacu,Principal,Chayahuita (Shawi),Cahuapana,FECOSHARMA,Huallaga
-76.48424,-5.91071,Santa Sofia,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHARMA,Huallaga
-76.42828,-5.91157,Nuevo Arica,Principal,Chayahuita (Shawi),Cahuapana,FECOSHARMA,Huallaga
-76.45407,-5.93457,Nuevo Santa Rosa,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHARMA,Huallaga
-76.43411,-5.91778,Nuevo Naranjillo,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHARMA,Huallaga
-76.45786,-5.85804,Santa Marta,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.46064,-5.83378,Nuevo Trancayacu,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.39994,-5.89852,Nuevo Progreso,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.39143,-5.89981,Nuevo Yurimaguas,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.38126,-5.88597,San Lorenzo de Armanayacu,Principal,Chayahuita (Shawi),Cahuapana,FECOSHARMA,Huallaga
-76.36971,-5.88398,Nuevo Paraiso,Anexo,Chayahuita (Shawi),Cahuapana,FECOSHARMA,Huallaga
-76.35699,-5.87548,San Juan de Armanayacu,Principal,Chayahuita (Shawi),Cahuapana,No Existe,Huallaga
-76.36372,-5.87394,San Carlos de Armanayacu,Anexo Reconocido,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.33125,-5.8662,San Isidro,Principal,Chayahuita (Shawi),Cahuapana,FECOSHARMA,Huallaga
-76.5637,-5.84956,Barrio Canoa Puerto,Anexo,Chayahuita (Shawi),Cahuapana,ACONAMAC,Huallaga
-76.57093,-5.85975,Barrio Belén,Anexo,Chayahuita (Shawi),Cahuapana,ACONAMAC,Huallaga
-76.57204,-5.7922,Costa Rica,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.49376,-5.75035,Dos de Mayo,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.39648,-5.73242,Loma Linda,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.45135,-5.73169,San Fernando,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.50491,-5.75199,San José de Caballito,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.47326,-5.8002,San Martín,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.56284,-5.86066,Barrio San Martín,Anexo,Chayahuita (Shawi),Cahuapana,ACONAMAC,Huallaga
-76.49959,-5.80394,Santa Fé,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.4784,-5.73712,Santa Rita,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.55898,-5.82506,Santa Rosa,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.62745,-5.74829,Santa Clara,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.52203,-5.75455,Santa Clara,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.54725,-5.81089,Veinti Ocho,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.54193,-5.84101,Barrio Diez de Agosto,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.54691,-5.83696,Buenos Aires,Anexo Reconocido,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.57351,-5.81961,Nuevo Cusco,Anexo Reconocido,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.56255,-5.83427,San Jorge,Anexo Reconocido,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.48227,-5.79076,San Vicente,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.51758,-5.77609,Bellavista,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.5712,-5.86571,Canoa Puerto,Principal,Chayahuita (Shawi),Cahuapana,ACONAMAC,Huallaga
-76.59808,-5.79734,Monte Alegre,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.47931,-5.74923,Nueva Esperanza,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.56215,-5.8531,Nueva Luz,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.52859,-5.80278,Nuevo Barranquita,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.43869,-5.7256,Nuevo Chazuta,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.54358,-5.79538,Nuevo Junín,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.54373,-5.81817,Pintuyacu,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.54896,-5.86098,Puerto Libre,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.54523,-5.84556,San Lorenzo,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.41272,-5.71339,San Gabriel de Varadero,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.61714,-5.74732,Santa Mercedes de Pilligue,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.52785,-5.79584,Santa Cruz,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.53433,-5.77911,Nueva Reforma,Anexo,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-76.35026,-5.95713,Campo Verde,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-75.52276,-4.94522,Seis de Julio,Anexo Reconocido,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,OPIBAM,Marañón
-75.83142,-5.34937,Nueva Corina,Anexo,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.75746,-5.37533,Paucaryacu,Anexo,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.8282,-5.36657,Puma Isla,Anexo,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.74228,-5.34183,Sananguillo,Anexo,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.77522,-5.30226,San Manuel,Anexo,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.84525,-5.48214,Union Challuana - Anexo de CN. Nueva Esperanza,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,No Existe,Huallaga
-75.84988,-5.43287,Bello Horizonte,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.82889,-5.02866,Nueva Alianza,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,No Existe,Marañón
-75.76147,-5.04067,San Felipe,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,No Existe,Marañón
-75.64763,-5.03802,San Gabriel,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,No Existe,Marañón
-75.62749,-5.07972,San Luis Bajo Huallaga,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.71476,-5.01895,San Sebastián,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,No Existe,Marañón
-75.61212,-5.15269,Yonan,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.72588,-5.31091,Arahuante,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.50738,-4.95563,Bellavista,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,OPIBAM,Marañón
-75.66619,-5.09073,Esperanza del Huallaga,Anexo,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.68892,-5.11911,Esperanza,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.49745,-4.92509,Nueva Unión,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,OPIBAM,Marañón
-75.87067,-5.89098,Nuevo Santa Cruz,Principal,Chayahuita (Shawi),Cahuapana,FECONACHA,Huallaga
-75.66762,-5.03564,Paraiso,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Marañón
-75.65648,-5.06223,Progreso,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.9083,-5.60615,Santa Anita,Principal,Chayahuita (Shawi),Cahuapana,FEDECOCA,Huallaga
-75.62383,-5.13149,Santa Isabel,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Huallaga
-75.72672,-5.19854,Siete de Junio,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,ORCICOCA,Huallaga
-75.82224,-5.01313,Santa Martha,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Marañón
-75.59733,-5.12444,Veracruz,Principal,Cocama-Cocamilla (Kukama-Kukamiria),Tupi-Guaraní,FEDECOCA,Marañón
