lon,lat,nombre,titular,sustancia,situacion,tipo,region
-70.53999,-14.1794,SANTO DOMINGO,MINSUR S.A.,"Cu, Sn",,En exploración,PUNO
-76.64011,-11.11026,SHALCA,COMPAÑIA MINERA VICHAYCOCHA S.A.C.,Polimetálicos,,En exploración,LIMA
-77.92519,-9.18755,TOROPUNTO,SMC TOROPUNTO LTD SUCURSAL DEL PERU,"Cu, Ag, Zn",,En exploración,ANCASH
-70.08343,-16.0554,KORIMINA,SURICHATA POLIMETALES SAC,Metalico,,En exploración,PUNO
-75.42002,-13.56605,CAHUIÑA,COMPAÑIA MINERA CARAVELI S.A.C.,Metálico,,En exploración,HUANCAVELICA
-77.71572,-8.47102,CARITO,BEAR CREEK MINING COMPANY - SUCURSAL DEL PERU,"Au, Cu",,En exploración,ANCASH
-72.96465,-14.33939,ANTILLA,PANORO APURIMAC S.A.,"Cu, Mo",,En exploración,APURIMAC
-70.18114,-14.52849,TAUCANE,MINSUR S.A.,Sn,,En exploración,PUNO
-76.26411,-11.92377,CHANAPE,INCA MINERALES  S.A.C.,"Au, Pb, Ag, Zn, Cu",,En exploración,LIMA
-77.67761,-8.60645,RACAYCOCHA,MINERA PEÑOLES DE PERU S.A.,"Au, Cu",,En exploración,ANCASH
-76.52205,-10.43838,AYAWILCA,TINKA RESOURCES S.A.C.,Zn,,En exploración,PASCO
-76.52733,-10.40873,COLQUIPUCRO,TINKA RESOURCES S.A.C.,"Ag, Zn, Sn",,En exploración,PASCO
-78.06315,-5.8491,CAÑON FLORIDA,COMPAÑÍA MINERA MILPO S.A.A.,"Zn, Pb, Ag",,En exploración,AMAZONAS
-76.00318,-11.8169,ZORAIDA,VOLCAN COMPAÑÍA MINERA S.A.A.,"Ag, Zn, Pb",,En exploración,JUNIN
-75.72285,-10.92244,SAN ANTONIO,SUBMICON S.A.C.,"Au, Cu",,En exploración,JUNIN
-76.6365,-10.58222,YUMPAG-CARAMA,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,"Ag, Mn",,En exploración,PASCO
-73.00445,-15.67297,OCAÑA,INVERSIONES MINERALES S.A.C.,Cu,,En exploración,AREQUIPA
-72.99375,-15.65258,PECOY,PEMBROOK COPPER S.A.C.,Cu-Mo-Au-Ag,,En exploración,AREQUIPA
-71.2689,-17.49838,CONYMECAR,GOLDEN IDEAL GOLD MINING S.A.C.,Au,,En exploración,MOQUEGUA
-77.01915,-10.72882,VIENTO,COMPAÑIA DE EXPLORACIONES ORION S.A.C.,"Cu, Mo",,En exploración,LIMA
-72.12476,-14.16871,GEMA,EXPLORACIONES COLLASUYO S.A.C.,"Cu, Zn, Pb",,En exploración,APURIMAC
-76.33868,-12.65641,LUNAHUANA,CANDENTE GOLD PERU S.A.C.,"Au,Cu",,En exploración,LIMA
-73.31148,-16.16892,ATICO,GOLDEN IDEAL GOLD MINING S.A.C.,Fe,,En exploración,AREQUIPA
-74.73364,-15.38977,ACARI,JUNEFIELD GROUP S.A.,Fe,,En exploración,AREQUIPA
-74.78768,-15.25689,ROMERILLO,CONSORCIO MINERO HORIZONTE S.A.,"Au, Cu",,En exploración,AREQUIPA
-73.61752,-15.53252,SONDOR,Teck Peru S.A.,Cu,,En exploración,AREQUIPA
-78.61629,-7.13364,COLPAYOC,WILD ACRE METALS (PERU) S.A.C.,"Au, Cu, Ag",,En exploración,CAJAMARCA
-78.94522,-6.87821,CASTREJON,MINERA LA ZANJA S.R.L.,Cu-Au-Ag,,En exploración,CAJAMARCA
-71.98316,-14.09077,ALICIA,MINERA STRAIT GOLD PERU S.A.C.,Cu,,En exploración,CUSCO
-77.67118,-8.58747,EL AGUILA,MINERA AGUILA DE ORO S.A.C.,"Cu, Mo",,En exploración,ANCASH
-75.28802,-12.95596,JOSJO,COMPAÑÍA MINERA MILPO S.A.A.,"Au, Ag",,En exploración,HUANCAVELICA
-71.07745,-16.54301,COLQUEMAYO,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Au,,En exploración,MOQUEGUA
-72.06055,-14.18983,YANQUE-DOLORES,EXPLORACIONES COLLASUYO S.A.C.,Zn Pb,,En exploración,CUSCO
-72.65578,-14.04616,ANGOSTURA,AGUILA AMERICAN RESOURCES LIMITED S.A.,Au,,En exploración,APURIMAC
-72.75389,-14.36418,CHAPI CHAPI,ALTURAS MINERALS S.A.,"Cu, Au",,En exploración,APURIMAC
-78.49533,-8.07539,URUMALQUI,PERU GOLD RESOURCES S.A.C.,"Au, Ag",,En exploración,LA LIBERTAD
-74.38455,-14.58391,FRESIA,COMPAÑIA MINERA ARES S.A.C.,Au,,En exploración,AYACUCHO
-73.2485,-13.86649,HIERRO - AYMARAES,FERROBAMBA IRON S.A.,Fe,,En exploración,APURIMAC
-74.91367,-15.0281,PAMPA POROMA,ESTRELLA GOLD PERU SAC.,"Cu, Au, Ag",,En exploración,ICA
-70.7056,-17.25232,PUCA URKKU,ANGLO AMERICAN QUELLAVECO S.A.,Cu,,En exploración,MOQUEGUA
-70.6102,-17.18039,PEDREGAL,ANGLO AMERICAN QUELLAVECO S.A.,Cu,,En exploración,MOQUEGUA
-80.36596,-6.3947,MORROPE,Salmueras Sudamericanas S.A.,NM,,En exploración,LAMBAYEQUE
-75.07469,-12.60146,HUAJOTO,ALTURAS MINERALS S.A.,"Zn, Au, Cu",,En exploración,HUANCAVELICA
-72.52423,-14.62565,AZUCA,COMPAÑIA MINERA ARES S.A.C.,"Au, Ag",,En exploración,APURIMAC
-72.49187,-14.57881,MILLO,CONSORCIO MINERO HORIZONTE S.A.,"Au, Zn",,En exploración,APURIMAC
-73.00202,-14.17283,PACHACONAS,CONSORCIO MINERO HORIZONTE S.A.,"Au, Cu",,En exploración,APURIMAC
-74.82012,-13.39327,TITIMINAS,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,"Zn, Pb, Ag",,En exploración,AYACUCHO
-79.2205,-5.94573,PAMPA COLORADA,Origen Group S.A.C.,Au,,En exploración,CAJAMARCA
-69.95955,-14.48855,PRINCESA,SOLEX DEL PERU S.A.C.,Uranio,,En exploración,PUNO
-72.14256,-16.92258,AREQUIPA 3,GOLDEN IDEAL GOLD MINING S.A.C.,Fe,,En exploración,AREQUIPA
-70.77069,-18.00063,VALE,JUNEFIELD GROUP S.A.,Fe-Cu-Au,,En exploración,TACNA
-74.67243,-14.07101,SAMI,COMPAÑIA MINERA ZAHENA S.A.C.,"Cu, Au",,En exploración,AYACUCHO
-77.96978,-8.78542,PASHPAP,LUMINA COPPER S.A.C.,"Cu, Mo",,En exploración,ANCASH
-76.37394,-10.74971,SAN GREGORIO,SOCIEDAD MINERA EL BROCAL S.A.A.,Zn,,En exploración,PASCO
-77.68707,-7.99647,CAROLAY,MINERA SUNSET DEL PERU S.A.C.,Ag,,En exploración,LA LIBERTAD
-70.71158,-16.16095,TASSA,BEAR CREEK MINING COMPANY - SUCURSAL DEL PERU,"Ag, Au",,En exploración,MOQUEGUA
-69.82657,-14.17619,PACACORRAL,LUPAKA GOLD PERU S.A.C.,Prospecto,,En exploración,PUNO
-78.06273,-5.78264,SAN JOSE,CERRO LA MINA S.A.,Zn,,En exploración,AMAZONAS
-75.56026,-12.32152,TUCUMACHAY,TECK PERU S.A.,"Au, Zn",,En exploración,JUNIN
-76.69534,-10.57282,JANCAPATA,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,"Ag, Pb, Zn",,En exploración,PASCO
