lon,lat,ramal,tramo,km_inicio,km_fin,progresivas
-78.24152,-5.0038,II,Estación N° 5 - Estación N° 7,306.1,518.5,212
-78.95817,-6.01541,II,Estación N° 7 - Estación N° 9,518.5,648.9,132
-80.19604,-5.89174,II,Estación N° 9 - Terminal Marítimo Bayóvar,649.0,855.4,208
-77.0666,-3.67191,ORN,Estación Andoas - Estación N° 5,-0.0,251.6,251
