lon,lat,nombre,etnia,poblacion,familias,rio
-76.86335,-5.85785,Yarau,Aguaruna (Awajun),220.0,53.0,Quebrada Yarau
-74.34472,-9.53829,Amaquiria,Shipibo-Conibo,0.0,0.0,Quebrada Amaquiria
-74.67294,-11.30429,Umanavanti,Asháninka,74.0,15.0,Quebrada Chavitani
-75.02767,-10.8003,San Martin de Ubiriki,Asháninka,36.0,12.0,Río Ubiriki
-74.26422,-8.49867,Puerto Consuelo,Shipibo-Conibo,160.0,35.0,Río Ucayali
-71.80117,-3.72919,Remanso,Yagua,0.0,0.0,Río Marañón
-77.74657,-4.60484,Alto Pajakus,Aguaruna (Awajun),557.0,67.0,Quebrada Pupuntas
-74.28371,-8.67591,Nuevo Ceylan,Shipibo-Conibo,289.0,56.0,Río Ucayali
-76.02707,-6.66363,Mushuck Llacta de Chipaota,"Quechua, Lamas (Kichwa)",332.0,77.0,Río Huallaga
-75.14186,-7.26635,Nuevo San Francisco de Rompeo de Tipishca,Shipibo-Conibo,220.0,35.0,Lago Tipisha
-75.10088,-7.70726,Santa Rosa,Shipibo-Conibo,96.0,17.0,Río Pisqui
-74.5691,-9.88615,San Martín de Apurucayali,Asháninka,0.0,0.0,Río Apurucayali
-72.87432,-11.62798,Shivankoreni,Machiguenga (Matsigenka),0.0,0.0,Río Camisea
-74.86773,-0.34758,Santa Teresita,Huitoto,70.0,14.0,Quebrada Yubineto
-74.26169,-9.61074,Nuevo San Juan,Shipibo-Conibo,0.0,0.0,Río Ucayali
-75.08837,-7.24305,Nuevo Milagritos,Shipibo-Conibo,115.0,20.0,Río Ucayali
-73.90669,-9.94734,Nuevo Roca Fuerte,Ashéninka,60.0,19.0,Quebrada Shiquivia
-73.23329,-3.62079,Centro Arenal,Huitoto,285.0,46.0,Río Amazonas
-77.29679,-5.70419,Tiwiyacu,Aguaruna (Awajun),34.0,7.0,Río Mayo
-74.66786,-11.17258,Arizona Portillo,Asháninka,49.0,14.0,Río Cauchal
-77.08392,-5.86118,San Rafael,Aguaruna (Awajun),280.0,78.0,Río Morroyacu
-74.29111,-8.6937,Nuevo Ceylan,Shipibo-Conibo,0.0,0.0,Río Ucayali
-74.31076,-8.892,Nuevo Loreto,Shipibo-Conibo,0.0,0.0,Lago Imiria
-70.80837,-9.90024,Cashuera,Cashinahua,77.0,21.0,Río Purus
-74.36976,-8.71221,Santa Rosa de Dinamarca,Shipibo-Conibo,0.0,0.0,Quebrada Tahuantinsuyo
-74.22197,-9.77401,Nueve de Octubre,Shipibo-Conibo,0.0,0.0,Río Ucayali
-73.79841,-10.15517,Puerto Alegre,Asháninka,175.0,25.0,Río Tahuania
-73.79813,-9.68537,Mapalja,Asháninka,150.0,42.0,Río Genepanshea
-73.87095,-9.7478,Santa Ana,Shipibo-Conibo,218.0,89.0,Quebrada Manantay
-70.77281,-9.90112,Cantagallo,Cashinahua,127.0,29.0,Río Purus
-75.18622,-7.37506,Suhaya,Shipibo-Conibo,290.0,45.0,Quebrada Suhaya
-74.16069,-10.01001,Shima,Asháninka,45.0,10.0,Quebrada Pasaya
-74.82802,-7.81737,Alfonso Ugarte,Shipibo-Conibo,965.0,350.0,Río Ucayali
-74.12326,-4.46701,Lisboa,Cocama-Cocamilla (Kukama-Kukamiria),208.0,32.0,Río Marañón
-74.52719,-8.79478,Flor de Ucayali,Shipibo-Conibo,380.0,50.0,Río Ucayali
-74.28307,-8.46032,San Rafael,Shipibo-Conibo,0.0,0.0,Río Ucayali (Tipishca)
-74.50468,-9.40942,Dos de Mayo,Shipibo-Conibo,0.0,0.0,Quebrada Sharara
-73.9868,-9.7954,San Fernando de Vainilla,Asháninka,40.0,15.0,Río Ucayali
-70.8594,-9.90265,San Marcos,Sharanahua,115.0,20.0,Río Purus
-75.32216,-2.99047,Paiche Playa,"Quechua, No Especificado",113.0,20.0,Río Tigre
-76.47029,-6.30724,Chirikyaku,"Quechua, Lamas (Kichwa)",170.0,32.0,Quebrada Chirikyacu
-73.82755,-10.68678,Santa Rosa de Laulate,Asháninka,0.0,0.0,Río Ucayali
-74.30218,-9.229,Puerto Belén,Shipibo-Conibo,0.0,0.0,Riachuelo Belen
-74.43662,-9.31783,Sharara,Shipibo-Conibo,620.0,150.0,Río Ucayali
-74.10902,-10.33176,Pandishari,Ashéninka,110.0,24.0,Río Ucayali
-78.19578,-4.94859,Bichanak,Aguaruna (Awajun),321.0,87.0,Quebrada Wawik
-74.22629,-4.6546,Seis de Setiembre,Cocama-Cocamilla (Kukama-Kukamiria),80.0,13.0,Río Marañón
-74.64885,-3.78279,San Carlos,Achuar,198.0,45.0,Río Corrientes
-74.73522,-5.86353,Puerto Irene,Cocama-Cocamilla (Kukama-Kukamiria),0.0,0.0,Río Canal Puinahua
-74.52373,-8.80483,Flor de Ucayali,Shipibo-Conibo,0.0,0.0,Río Ucayali
-74.22056,-9.40677,Ramón Castilla,Asháninka,15.0,4.0,Río Ucayali
-75.30992,-7.7947,Vencedor,Shipibo-Conibo,470.0,60.0,Río Pisqui
-70.66414,-9.73781,Bola de Oro,Sharanahua,42.0,8.0,Río Purús
-74.10266,-4.37976,Nueva Conquista Sector A,Cocama-Cocamilla (Kukama-Kukamiria),48.0,15.0,Quebrada Nahuapa
-74.03529,-9.66754,Santa Belita de Sheshea,Ashéninka,140.0,35.0,Río Sheshea
-74.33552,-9.65164,Pijuayal,Asháninka,0.0,0.0,Quebrada Amaquiria
-78.36026,-5.05063,Yamayakat,Aguaruna (Awajun),505.0,105.0,Río Marañón
-78.23189,-4.60034,Shapijim,Aguaruna (Awajun),123.0,20.0,Río Cenepa
-72.82219,-11.73031,Segakiato,Machiguenga (Matsigenka),0.0,0.0,Río Camisea
-73.87806,-9.88709,Túpac Amaru,Shipibo-Conibo,0.0,0.0,Quebrada Cumaria
-70.75743,-9.81244,Conta,Cashinahua,211.0,38.0,Río Purus
-74.04176,-9.9641,Betijay,Shipibo-Conibo,0.0,0.0,Río Ucayali
-74.71261,-11.13383,Shintzijaroqui,Asháninka,68.0,12.0,Río Sinchijaroki
-75.04756,-4.39038,Santa Carmela,Urarina,82.0,18.0,Río Chambira
-78.16365,-4.97448,Alto Bichanak,Aguaruna (Awajun),0.0,0.0,Quebrada Kusu
-78.1696,-4.47086,Huampami,Aguaruna (Awajun),873.0,161.0,Río Cenepa
-73.55239,-9.62278,Puerto Esperanza de Sheshea,Ashéninka,215.0,45.0,Río Sheshea
-74.09992,-9.81668,Shahuaya,Shipibo-Conibo,0.0,0.0,Río Ucayali
-74.5346,-9.26027,Nueva Esperanza de Tabacoa,Asháninka,95.0,22.0,Quebrada Tabacoa
-74.12824,-9.8233,Shahuaya,Shipibo-Conibo,533.0,163.0,Río Ucayali
-75.33375,-10.76257,Alto Churumazu,Amuesha (Yánesha),103.0,21.0,Río Churumazu
-78.44083,-4.88391,Tuyankuwas (Sijiak),Aguaruna (Awajun),0.0,0.0,Quebrada Sijiak
-74.68055,-11.231,San Miguel,Asháninka,61.0,16.0,Río Blanca
-75.10376,-10.09804,San José de Santariani,Asháninka,129.0,32.0,Quebrada Santariani
-71.25446,-10.05872,Santa Rey,Cashinahua,72.0,17.0,Río Curanja
-74.42482,-9.42238,Juancito,Asháninka,195.0,52.0,Quebrada Sipiria
-74.39464,-11.26045,Mapitamani,Asháninka,60.0,16.0,Quebrada Caracol
-78.49567,-5.32638,Tayu,Aguaruna (Awajun),96.0,20.0,Quebrada Cangarizo
-75.01922,-4.31527,Santa Teresa,Urarina,96.0,24.0,Quebrada Patoyacu
-73.8469,-10.24188,Canapishtea,Asháninka,135.0,30.0,Río Tahuania
-74.23225,-8.63692,Preferida de Charasmana,Shipibo-Conibo,0.0,0.0,Río Tamaya
-78.26256,-4.38508,Cusu Pagata,Aguaruna (Awajun),1633.0,342.0,Río Comaina
-76.55583,-6.1636,Yurilamas,"Quechua, Lamas (Kichwa)",300.0,70.0,Río Polponta
-78.10524,-5.21842,Kusuim,Aguaruna (Awajun),115.0,21.0,Río Tuntungos
-78.24735,-5.19479,Pacuy,Aguaruna (Awajun),894.0,127.0,Río Chiriaco
-71.0211,-10.07879,Santa Margarita,Sharanahua,101.0,24.0,Río Purus
-74.984,-7.68086,Nuevo Cunshamay,Shipibo-Conibo,250.0,40.0,Río Ucayali
-78.28754,-5.1396,La Curva,Aguaruna (Awajun),167.0,32.0,Río Chiriaco
-71.13622,-10.39909,Monterrey,Piro (Yine),32.0,6.0,Río Purus
-74.23052,-8.50963,Puerto Consuelo,Shipibo-Conibo,0.0,0.0,Río Ucayali
-78.16178,-4.67564,Nueva Vida,Aguaruna (Awajun),269.0,45.0,Río Marañón
-78.133,-3.78358,Kunt Entsa,Huambisa (Wampis),0.0,0.0,No hay datos
-74.58319,-11.10387,Alto Sondoveni,Asháninka,0.0,0.0,Riachuelo Sondobeni
-78.36499,-4.83753,Numpatkaim,Aguaruna (Awajun),0.0,0.0,Río Marañón
-78.4232,-5.24429,Alto Numpatkaim,Aguaruna (Awajun),107.0,19.0,Río Marañón
-75.14828,-4.06604,Nueva Reforma del Patoyacu,Urarina,95.0,23.0,No hay datos
-73.92979,-4.46069,Villa Monte Alegre,Cocama-Cocamilla (Kukama-Kukamiria),79.0,14.0,Río Marañón
-74.97555,-10.20524,Paujil,Asháninka,0.0,0.0,Río Pichis
-75.21398,-4.01714,Santa Elena del Patoyacu,Urarina,129.0,26.0,No hay datos
-75.01706,-10.92352,Cerro Picaflor Alto Kivinaki,Asháninka,101.0,22.0,Río Kivinaki
-78.43112,-5.21048,Paik,Aguaruna (Awajun),0.0,0.0,Río Marañón
-74.43456,-11.33797,Tahuantinsuyo,Nomatsiguenga,112.0,22.0,Río Chichireni
-73.96952,-9.96841,Santa Clara,Shipibo-Conibo,0.0,0.0,Río Ucayali (Antiguo)
-73.14337,-12.62882,Chakopishiato,Machiguenga (Matsigenka),51.0,13.0,Quebrada Kioato
-73.83804,-4.59391,Puerto Perú,Cocama-Cocamilla (Kukama-Kukamiria),180.0,22.0,Río Marañón
-78.22328,-4.68252,Chikais,Aguaruna (Awajun),0.0,0.0,Río Marañón
-74.57594,-3.3567,Alvarenga Sector B,Iquito,0.0,0.0,Río Nanay
-69.73491,-12.75356,Boca del Inambari,Harakmbut,105.0,33.0,Río Madre de Dios
-78.27599,-4.62102,Bashuim Chinim,Aguaruna (Awajun),0.0,0.0,Quebrada Bashuim
-74.42867,-9.23894,Vista Alegre,Shipibo-Conibo,420.0,85.0,Río Ucayali
-78.46989,-5.38577,Tsuntsuntsa,Aguaruna (Awajun),211.0,46.0,Río Marañón
-78.39657,-5.16149,Samarén,Aguaruna (Awajun),75.0,18.0,Río Marañón
-74.7516,-7.92505,Nuevo Loreto,Shipibo-Conibo,0.0,0.0,Río Ucayali
-74.53907,-10.42042,La Paz de Pucharine,Asháninka,53.0,9.0,Río Tereshari
-78.19746,-4.54792,Pagki,Aguaruna (Awajun),60.0,10.0,Río Cenepa
-74.44866,-8.76868,Santa Martha,Shipibo-Conibo,250.0,72.0,Río Ucayali
-74.38574,-9.30846,Utucuro,Shipibo-Conibo,0.0,0.0,Cocha Utucuro
-74.25092,-9.32512,Caco Macaya,Shipibo-Conibo,1800.0,200.0,Río Caco
-78.26403,-4.90805,Suikai,Aguaruna (Awajun),60.0,19.0,Quebrada Nayumpim
-73.9092,-9.593,Nueva Alianza de Sheshea,Asháninka,62.0,32.0,Río Sheshea
-77.87233,-4.30078,Kagkas,Aguaruna (Awajun),315.0,54.0,Quebrada Kagkas
-70.64044,-9.65818,Catay,Mastanahua,105.0,28.0,Río Purus
-75.3152,-1.94516,Buena Vista,Arabela,258.0,45.0,Río Arabela
-76.81974,-6.63903,Nuevo Arica de Kachiyaku,"Quechua, Lamas (Kichwa)",130.0,42.0,Quebrada Chakishka Rarca
-78.42286,-4.48902,Pijuayal,Aguaruna (Awajun),30.0,8.0,Río Numpatkaim
-74.48892,-9.37138,Puerto Nuevo,Shipibo-Conibo,0.0,0.0,Cocha Antiguo Ucayali
-77.04296,-5.79537,Shimpiyacu,Aguaruna (Awajun),760.0,147.0,Río Huascayacu
-74.129,-4.38657,Nueva Conquista Sector B,Cocama-Cocamilla (Kukama-Kukamiria),0.0,0.0,Quebrada Nahuapa
-74.22455,-4.47281,Libertad de Choroyacu,Cocama-Cocamilla (Kukama-Kukamiria),68.0,17.0,Río Marañón
-71.11857,-9.92059,Curanjillo,Cashinahua,0.0,0.0,Río Curanja
-74.20104,-9.88919,Fernando Sthal,Shipibo-Conibo,123.0,34.0,Quebrada Shahuaya
-75.00877,-10.83558,Chinari,Asháninka,60.0,17.0,Río Ubiriki
-73.13448,-11.01077,Centro Sheboja,Asháninka,103.0,23.0,Río Urubamba
-78.13344,-4.62053,Wawaim,Aguaruna (Awajun),638.0,101.0,Río Cenepa
-77.33537,-5.80713,Bajo Naranjillo,Aguaruna (Awajun),2000.0,610.0,Río Naranjillo
-74.39915,-9.10489,Puerto Grau,Shipibo-Conibo,300.0,30.0,Río Ucayali
-70.62338,-9.74311,Catay,Mastanahua,0.0,0.0,Río Purus
-78.50894,-4.44046,Tunas,Aguaruna (Awajun),30.0,5.0,Quebrada Achuim
-78.21511,-4.50025,Canga,Aguaruna (Awajun),280.0,49.0,Río Comaina
-73.97394,-4.44932,Pampa Caño,Cocama-Cocamilla (Kukama-Kukamiria),169.0,29.0,Río Marañón
-77.4481,-5.8059,Alto Naranjillo,Aguaruna (Awajun),320.0,65.0,Río Naranjillo
-75.05213,-4.22715,La Petrolera y Anexo Bellavista,Urarina,188.0,24.0,Quebrada Patoyacu
-74.88241,-3.38117,28 de Julio,"Quechua, No Especificado",0.0,0.0,Río Tigre
-74.46328,-9.36467,Puerto Nuevo,Shipibo-Conibo,280.0,50.0,Cocha Antiguo Ucayali
-71.12817,-10.0263,El Triunfo,Cashinahua,20.0,4.0,Río Curanjillo
-74.25335,-9.93154,Fernando Sthal,Shipibo-Conibo,0.0,0.0,Quebrada Shahuaya
-78.46145,-5.28815,Tutumberos,Aguaruna (Awajun),640.0,110.0,Quebrada Tutumberos
-77.90311,-3.18895,Papayacu o San Martín,Huambisa (Wampis),0.0,0.0,Río Santiago
-74.03593,-10.02576,Betijay,Shipibo-Conibo,377.0,60.0,Río Ucayali
-78.36579,-5.12658,Winchu Temashnum,Aguaruna (Awajun),993.0,197.0,Río Marañón
-74.09815,-10.08113,Quipachari,Asháninka,121.0,21.0,Río Ucayali
-74.6779,-5.80484,Nuevo Clavero,Cocama-Cocamilla (Kukama-Kukamiria),96.0,20.0,Río Puinahua
-74.86802,-9.88215,San Jorge de Pachitea,Amuesha (Yánesha),45.0,13.0,Río Pachitea
-73.54094,-4.46131,Puerto Prado,Cocama-Cocamilla (Kukama-Kukamiria),77.0,15.0,Río Amazonas
-74.14222,-9.3189,Pueblo Nuevo del Caco,Shipibo-Conibo,0.0,0.0,Río Caco
-71.08614,-10.26543,Laureano,Amahuaca,32.0,11.0,Río Purus
-70.64399,-9.81963,Bola de Oro,Sharanahua,0.0,0.0,Río Purús
-74.20245,-9.84592,Bajo Aruya,Ashéninka,300.0,65.0,Quebrada Aruya
-74.3521,-9.34783,Colonia Caco,Shipibo-Conibo,0.0,0.0,Río Ucayali
-74.23252,-9.85148,Bajo Aruya,Ashéninka,0.0,0.0,Quebrada Aruya
-78.25088,-3.87979,Putuim,Huambisa (Wampis),30.0,6.0,Río Cenepa
-74.4992,-9.18415,Nueva Samaria,Shipibo-Conibo,0.0,0.0,Río Ucayali
-74.30546,-11.51677,San Emiliano de Cachingarani,Nomatsiguenga,370.0,81.0,Río Cageriari
-78.40262,-4.63723,Uchi Shamatak,Aguaruna (Awajun),260.0,50.0,Quebrada Uchi Shamatak
-73.77708,-9.53017,Santa Rosa de Sheshea,Asháninka,150.0,60.0,Río Sheshea
-78.29599,-4.84075,Shijap,Aguaruna (Awajun),71.0,15.0,Río Marañón
-74.95568,-7.35264,Canaán,Shipibo-Conibo,999.0,135.0,Río Ucayali
-74.25341,-4.62422,Nueva Santa Rosa,Cocama-Cocamilla (Kukama-Kukamiria),165.0,30.0,Río Marañón
-74.78641,-10.08077,Alto Sungaroyali,Asháninka,50.0,7.0,Río Sungaruyali
-77.94531,-4.37336,Inayuam,Aguaruna (Awajun),215.0,47.0,Quebrada Inayuam
-74.8355,-7.68096,Nuevo San Pablo,Shipibo-Conibo,278.0,42.0,Quebrada Sinuya
-74.03581,-9.80608,Tumbuya,Shipibo-Conibo,200.0,70.0,Río Ucayali
-76.79086,-6.70726,Kawana Sisa,"Quechua, Lamas (Kichwa)",580.0,150.0,Quebrada Pao
-74.5789,-6.52219,Aipena,Capanahua,73.0,14.0,Río Buncuya
-74.15557,-9.66988,Fátima,Shipibo-Conibo,200.0,32.0,Río Ucayali
-75.71448,-4.12886,Rayayacu,Urarina,114.0,23.0,Río Tigrillo
-74.32363,-4.6085,Shapajilla,Cocama-Cocamilla (Kukama-Kukamiria),182.0,48.0,Río Marañón
-74.46574,-4.54201,San José de Parinari,Cocama-Cocamilla (Kukama-Kukamiria),617.0,117.0,Río Marañón
-71.18649,-10.16723,Balta,Cashinahua,0.0,0.0,Río Curanja
-76.81323,-6.67706,Chirik Sacha,"Quechua, Lamas (Kichwa)",520.0,75.0,Quebrada Pao
-74.36427,-8.88892,Nuevo Loreto,Shipibo-Conibo,240.0,46.0,Lago Imiria
-75.37202,-7.30342,Isolaya,Piro (Yine),0.0,0.0,Quebrada Cushabatay
-74.24929,-9.75703,Sempaya,Shipibo-Conibo,0.0,0.0,Río Pinto Caño
-74.37729,-9.43222,Nuevo Nazareth,Shipibo-Conibo,0.0,0.0,Río Ucayali
-78.48037,-4.47467,Achuim,Aguaruna (Awajun),282.0,49.0,Río Numpatkaim
-70.50617,-3.92804,Santa Rita de Gallinazo,Yagua,270.0,50.0,Lago Caballococha
-75.1334,-4.33449,Santa Beatriz,Urarina,102.0,21.0,Quebrada Pangayacu
-78.33514,-3.86959,Ajuntai Entsa,Aguaruna (Awajun),30.0,10.0,Río Cenepa
-74.0715,-4.44888,Puerto Orlando,Cocama-Cocamilla (Kukama-Kukamiria),141.0,26.0,Río Marañón
-75.34255,-7.83979,Túpac Amaru,Shipibo-Conibo,490.0,100.0,Río Pisqui
-72.98435,-11.58553,Nueva Vida,Machiguenga (Matsigenka),0.0,0.0,Río Urubamba
-74.17324,-8.87828,Nueva Yarina,Shipibo-Conibo,160.0,30.0,Quebrada Yarina
-74.18333,-9.66066,Fátima,Shipibo-Conibo,0.0,0.0,Río Ucayali
-78.19248,-4.69939,Chikais,Aguaruna (Awajun),240.0,75.0,Río Marañón
-78.15101,-4.79399,Kayamas Wee,Aguaruna (Awajun),41.0,9.0,Quebrada Kayamas
-78.21028,-4.57254,Nuevo Tutino,Aguaruna (Awajun),110.0,22.0,Río Cenepa
-78.64201,-4.63642,Alto Tuntus,Aguaruna (Awajun),355.0,60.0,Río Tuntus
-74.18657,-9.53402,Runuya,Shipibo-Conibo,0.0,0.0,Río Ucayali
-78.31969,-4.84695,Numpatkaim,Aguaruna (Awajun),890.0,146.0,Río Marañón
-78.19039,-4.43543,Nanchik Entsa,Aguaruna (Awajun),50.0,15.0,Río Comaina
-74.43592,-8.63175,Nuevo Paraíso,Shipibo-Conibo,1100.0,210.0,Laguna Bonita
-71.04264,-10.15557,Santa Margarita,Sharanahua,0.0,0.0,Río Purus
-74.19435,-9.30089,Curiaca,Shipibo-Conibo,0.0,0.0,Río Ucayali
-77.06601,-5.69862,Kusu,Aguaruna (Awajun),80.0,12.0,Quebrada Huascayaquillo
-73.38827,-9.74166,Parantari,Ashéninka,320.0,39.0,Río Sheshea
-73.79685,-4.61208,San Pedro de Tipishca,Cocama-Cocamilla (Kukama-Kukamiria),270.0,50.0,Río Marañón
-74.12274,-10.17644,Quempitiari,Asháninka,294.0,60.0,Río Ucayali
-74.39363,-9.18364,San Luis de Cumancay,Shipibo-Conibo,200.0,60.0,Quebrada Tabacoa
-74.25757,-8.68158,Preferida de Charasmana,Shipibo-Conibo,62.0,10.0,Río Tamaya
-74.4628,-9.27885,Nuevo Perú,Shipibo-Conibo,120.0,40.0,Río Ucayali
-73.72288,-8.90541,San Miguel de Chambira,Asháninka,85.0,25.0,Río Tamaya
-75.17265,-4.26356,Pijuayal y Anexo Nuevo Zapotal,Urarina,103.0,18.0,Quebrada Hormiga
-75.0469,-7.37862,Canaán de Chia Tipishca,Shipibo-Conibo,263.0,45.0,Lago Chia Tipishca
-74.99354,-10.77781,Comavishiqui,Asháninka,119.0,23.0,Quebrada San Carlos
-75.5161,-4.29076,Nuevo Horizonte,Urarina,141.0,28.0,No hay datos
-70.58107,-9.6974,San Bernardo,Culina,0.0,0.0,Río Purus
-74.11104,-4.49007,Bello Horizonte,Cocama-Cocamilla (Kukama-Kukamiria),58.0,11.0,Río Marañón
-74.65547,-5.76766,Obrero,Cocama-Cocamilla (Kukama-Kukamiria),446.0,76.0,Río Puinahua
-78.33008,-4.58267,Paantan Entsa,Aguaruna (Awajun),364.0,72.0,Río Canga
-75.33311,-4.15204,Pucayacu,Urarina,205.0,32.0,Quebrada Pucayacu
-70.55845,-9.47799,Naranjal,Mastanahua,33.0,8.0,Río Purus
