lon,lat,punto,componentes,n_componentes,informe,evaluacion,registros
-75.867339,-2.322997,S0471-HB-005-P-R3,Biota,1,INFORME N° 00003-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0471,19
-75.867339,-2.322997,S0471-HB-005,Biota,1,INFORME N° 00003-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0471,4
-75.868119,-2.319369,S0463-HB-004-O,Biota,1,INFORME N° 00010-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0463,39
-75.868119,-2.319369,S0463-HB-004-P-R1,Biota,1,INFORME N° 00010-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0463,39
-75.868119,-2.319369,S0463-HB-004-P-R2,Biota,1,INFORME N° 00010-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0463,39
-75.868119,-2.319369,S0463-HB-004-P-R3,Biota,1,INFORME N° 00010-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0463,39
-75.868596,-2.319568,S0463-HB-003-O,Biota,1,INFORME N° 00010-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0463,39
-75.868596,-2.319568,S0463-HB-003-P-R1,Biota,1,INFORME N° 00010-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0463,39
-75.868596,-2.319568,S0463-HB-003-P-R2,Biota,1,INFORME N° 00010-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0463,39
-75.868596,-2.319568,S0463-HB-003-P-R3,Biota,1,INFORME N° 00010-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0463,39
-75.868596,-2.319568,S0463-HB-003,Biota,1,INFORME N° 00010-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0463,5
-75.868119,-2.319369,S0463-HB-004,Biota,1,INFORME N° 00010-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0463,8
-75.864901,-2.322357,S0464-HB-005-O,Biota,1,INFORME N° 00032-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0464,27
-75.864901,-2.322357,S0464-HB-005-P,Biota,1,INFORME N° 00032-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0464,27
-75.866085,-2.317218,S0462-HB-001,Biota,1,INFORME N° 00011-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0462,14
-75.866518,-2.318493,S0462-HB-002,Biota,1,INFORME N° 00011-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0462,19
-75.866536,-2.319361,S0462-HB-003,Biota,1,INFORME N° 00011-2022-OEFA/DEAM-SSIM,Evaluación ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0462,20
-76.191265,-2.776602,S0392-HB-001,Biota,1,INFORME N° 00102-2021-OEFA/DEAM-SSIM,Evaluación Ambiental para la identificación del sitio impactado por actividades de hidrocarburos con código S0392,2
