lon,lat,anp_cate,anp_codi,anp_nomb,anp_suleg,anp_uicn,anp_balec,anp_felec
-69.80499,-15.26263,Reserva Nacional,RN05,del Titicaca,130,VI - Uso sostenible de recursos naturales,D.S. N° 185-1978-AA,278640000000
-71.18089,-16.07054,Reserva Nacional,RN06,de Salinas y Aguada Blanca,366936,VI - Uso sostenible de recursos naturales,D.S. N° 070-1979-AA,303004800000
-75.20036,-15.38007,Reserva Nacional,RN13.28,"Sistema de Islas, Islotes y Puntas Guaneras - Punta San Juan",2968.8,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-74.86519,-15.57914,Reserva Nacional,RN13.29,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Lomas",2404.26,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-73.71147,-16.2404,Reserva Nacional,RN13.30,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Atico",3467.69,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-72.93159,-16.53672,Reserva Nacional,RN13.31,"Sistema de Islas, Islotes y Puntas Guaneras - Punta La Chira",2436.68,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-75.35365,-14.94283,Reserva Nacional,RN15,San Fernando,154716.37,VI - Uso sostenible de recursos naturales,D.S. N° 017-2011-MINAM,1310169600000
-75.83782,-12.11504,Reserva Paisajistica,RP01,Nor Yauyos-Cochas,221268.48,V - Paisajes de conservación y Recreación,D.S. N° 033-2001-AG,988675200000
-72.78727,-15.03518,Reserva Paisajistica,RP02,Subcuenca del Cotahuasi,490550,V - Paisajes de conservación y Recreación,D.S. N° 027-2005-AG,1116806400000
-79.06656,-6.85317,Refugio de Vida Silvestre,RVS03,Bosques Nublados de Udima,9849.64,IV - Conservar el hábitat por intervención controlada,D.S. N° 020-2011-MINAM,1311206400000
-79.49215,-6.34046,Refugio de Vida Silvestre,RVS01,Laquipampa,8328.64,IV - Conservar el hábitat por intervención controlada,D.S. N° 045-2006-AG,1152230400000
-76.98996,-12.21044,Refugio de Vida Silvestre,RVS02,Los Pantanos de Villa,263.27,IV - Conservar el hábitat por intervención controlada,D.S. N° 055-2006-AG,1156982400000
-79.02226,-6.78024,Refugio de Vida Silvestre,RVS03,Bosques Nublados de Udima,74.41,IV - Conservar el hábitat por intervención controlada,D.S. N° 020-2011-MINAM,1311206400000
-72.30276,-16.88613,Reserva Nacional,RN13.32,"Sistema de Islas, Islotes y Puntas Guaneras - Punta Hornillos",2684.19,VI - Uso sostenible de recursos naturales,D.S. N° 024-2009-MINAM,1262217600000
-80.25129,-3.93332,Reserva Nacional,RN11,de Tumbes,19266.72,VI - Uso sostenible de recursos naturales,D.S. N° 046-2006-AG,1152230400000
-73.51293,-5.66157,Reserva Nacional,RN12,Matsés,420635.34,VI - Uso sostenible de recursos naturales,D.S. N° 014-2009-MINAM,1251244800000
